section_id,subject_name,weekly_hours,required_classroom_type
1,Mathematics,6.0,Normal Classroom
1,English,7.0,Normal Classroom
1,Science,3.0,Normal Classroom
1,History,1.5,Normal Classroom
1,Geography,1.0,Normal Classroom
1,Physical Education (PE),3.0,PE Area
1,Art,2.0,Normal Classroom
1,Music,2.0,Normal Classroom
1,Computer Science,1.5,Computer Lab
1,Nutrition,1.0,Nutrition Kitchen
1,Biology,0.0,Science Lab
2,Mathematics,6.0,Normal Classroom
2,English,7.0,Normal Classroom
2,Science,3.0,Normal Classroom
2,History,1.5,Normal Classroom
2,Geography,1.0,Normal Classroom
2,Physical Education (PE),3.0,PE Area
2,Art,2.0,Normal Classroom
2,Music,2.0,Normal Classroom
2,Computer Science,1.5,Computer Lab
2,Nutrition,1.0,Nutrition Kitchen
2,Biology,0.0,Science Lab
3,Mathematics,6.0,Normal Classroom
3,English,7.0,Normal Classroom
3,Science,3.0,Normal Classroom
3,History,1.5,Normal Classroom
3,Geography,1.0,Normal Classroom
3,Physical Education (PE),3.0,PE Area
3,Art,2.0,Normal Classroom
3,Music,2.0,Normal Classroom
3,Computer Science,1.5,Computer Lab
3,Nutrition,1.0,Nutrition Kitchen
3,Biology,0.0,Science Lab
4,Mathematics,6.0,Normal Classroom
4,English,6.0,Normal Classroom
4,Science,4.0,Normal Classroom
4,History,2.0,Normal Classroom
4,Geography,1.5,Normal Classroom
4,Physical Education (PE),3.0,PE Area
4,Art,2.0,Normal Classroom
4,Music,2.0,Normal Classroom
4,Computer Science,1.5,Computer Lab
4,Nutrition,1.0,Nutrition Kitchen
4,Biology,1.0,Science Lab
4,Chemistry,0.0,Science Lab
5,Mathematics,6.0,Normal Classroom
5,English,6.0,Normal Classroom
5,Science,4.0,Normal Classroom
5,History,2.0,Normal Classroom
5,Geography,1.5,Normal Classroom
5,Physical Education (PE),3.0,PE Area
5,Art,2.0,Normal Classroom
5,Music,2.0,Normal Classroom
5,Computer Science,1.5,Computer Lab
5,Nutrition,1.0,Nutrition Kitchen
5,Biology,1.0,Science Lab
5,Chemistry,0.0,Science Lab
6,Mathematics,6.0,Normal Classroom
6,English,6.0,Normal Classroom
6,Science,4.0,Normal Classroom
6,History,2.0,Normal Classroom
6,Geography,1.5,Normal Classroom
6,Physical Education (PE),3.0,PE Area
6,Art,2.0,Normal Classroom
6,Music,2.0,Normal Classroom
6,Computer Science,1.5,Computer Lab
6,Nutrition,1.0,Nutrition Kitchen
6,Biology,1.0,Science Lab
6,Chemistry,0.0,Science Lab
7,Mathematics,6.0,Normal Classroom
7,English,5.0,Normal Classroom
7,Science,4.0,Normal Classroom
